group,att0post0,att0post1,avg_max_elec1,avg_min_elec1,att1_post0,att1post1,avg_max_elec2,avg_min_elec2,att0_user_cnt,att1_user_cnt,user_cnt,att0_monthave,att1_monthave,att_monthave,wind_direction_2mean_angle,wind_speed_2mean,relative_humidity,pressure_hpa,vapor_pressure_hpa,pm2.5
0,0.566,0.534,0.716,0.384,0.636,0.543,0.801,0.716,5878,728,6606,65.818,60.074,65.185,62.306,1.760,62.653,997.721,29.164,35.566
1,1.248,1.225,1.520,0.953,1.251,1.098,1.498,1.520,5908,900,6808,220.838,220.384,220.778,67.937,1.580,61.216,997.920,28.843,34.197
3,1.743,1.814,2.268,1.288,1.792,1.680,2.262,2.268,768,142,910,394.273,379.648,391.991,66.487,1.493,59.100,998.148,27.500,28.130
4,1.745,1.720,2.222,1.242,1.990,1.609,2.323,2.222,778,172,950,339.442,344.500,340.358,65.729,1.520,59.334,998.116,27.567,28.903
5,1.646,1.541,2.031,1.156,1.456,1.277,1.809,2.031,2078,590,2668,325.990,323.722,325.489,65.033,1.575,60.130,998.022,27.961,29.864
6,2.889,2.996,3.587,2.298,2.727,2.600,3.325,3.587,180,48,228,780.922,822.833,789.746,66.316,1.461,58.447,998.220,27.111,27.167
7,1.899,1.872,2.371,1.399,1.851,1.634,2.228,2.371,2506,620,3126,370.172,371.116,370.360,68.555,1.486,59.670,998.097,28.012,30.792
8,2.570,2.574,3.139,2.005,3.112,3.699,4.107,3.139,148,32,180,815.635,796.813,812.289,66.656,1.484,58.994,998.161,27.455,29.029
9,1.366,1.303,1.662,1.007,1.299,1.144,1.595,1.662,2806,584,3390,294.555,294.791,294.596,65.349,1.651,61.650,997.854,28.861,34.050
10,0.927,0.927,1.177,0.677,0.934,0.865,1.169,1.177,4618,762,5380,141.783,144.273,142.136,61.209,1.755,62.179,997.767,28.794,33.640
11,2.762,2.829,3.517,2.073,3.107,3.186,3.945,3.517,252,58,310,743.230,733.103,741.335,64.790,1.525,59.116,998.135,27.358,28.021
12,2.302,2.261,2.783,1.780,2.411,2.021,2.844,2.783,898,194,1092,491.733,492.423,491.855,64.826,1.533,59.267,998.118,27.448,27.646
13,2.900,2.861,3.488,2.273,3.432,3.049,3.781,3.488,524,114,638,608.378,596.947,606.335,68.387,1.405,58.103,998.272,27.099,27.534
14,3.317,3.171,4.066,2.422,3.589,3.698,4.297,4.066,204,36,240,861.304,843.167,858.583,67.800,1.540,60.425,998.008,28.378,29.173
15,1.526,1.485,1.876,1.135,1.395,1.338,1.763,1.876,2128,372,2500,290.740,283.457,289.656,65.537,1.572,60.238,998.013,28.068,31.368
16,1.590,1.509,1.971,1.128,1.272,1.219,1.594,1.971,470,76,546,477.153,476.132,477.011,67.174,1.469,58.881,998.177,27.436,28.252
17,0.515,0.506,0.651,0.370,0.458,0.430,0.604,0.651,2278,308,2586,130.572,122.279,129.584,63.506,1.652,61.052,997.909,28.353,30.622
18,0.480,0.460,0.610,0.330,0.393,0.404,0.599,0.610,4624,626,5250,95.334,86.447,94.274,61.589,1.731,61.870,997.804,28.651,32.064
19,2.396,2.342,2.904,1.834,2.466,2.343,2.906,2.904,424,68,492,558.519,518.971,553.053,68.943,1.401,58.215,998.263,27.213,29.124
20,1.660,1.622,2.038,1.244,1.566,1.327,2.008,2.038,636,108,744,180.230,194.426,182.290,64.863,1.556,59.726,998.067,27.714,29.632
21,0.884,0.855,1.115,0.623,0.880,0.734,1.113,1.115,4250,630,4880,138.692,136.330,138.387,62.916,1.736,62.409,997.752,29.079,34.773
22,1.800,1.750,2.249,1.301,1.706,1.252,2.213,2.249,762,118,880,529.512,526.949,529.168,63.300,1.685,61.601,997.846,28.650,30.486
23,1.970,2.005,2.490,1.485,2.261,2.144,2.529,2.490,974,170,1144,381.649,382.482,381.773,68.816,1.399,58.137,998.271,27.157,27.785
24,0.830,0.842,1.085,0.586,0.876,0.915,1.096,1.085,2126,308,2434,157.652,159.792,157.923,61.438,1.723,61.663,997.826,28.519,32.088
25,1.271,1.144,1.537,0.879,0.281,0.167,1.424,1.537,58,6,64,503.241,240.000,478.563,68.344,1.444,58.813,998.192,27.502,33.400
26,1.506,1.514,1.882,1.137,1.469,1.413,1.859,1.882,780,128,908,395.036,398.078,395.465,68.271,1.430,58.530,998.223,27.333,29.200
27,0.894,0.885,1.111,0.668,0.882,0.751,1.105,1.111,6972,1072,8044,127.210,126.972,127.179,66.360,1.607,61.186,997.913,28.685,33.693
28,1.518,1.520,1.907,1.131,1.477,1.330,1.898,1.907,1248,246,1494,271.462,286.813,273.989,64.161,1.579,59.899,998.042,27.751,29.494
30,0.919,0.879,1.153,0.645,0.961,0.856,1.154,1.153,2352,324,2676,151.393,153.611,151.661,64.319,1.634,60.990,997.921,28.391,31.319
31,2.068,2.047,2.515,1.600,2.169,1.869,2.527,2.515,1594,424,2018,433.419,426.288,431.921,68.636,1.466,59.329,998.136,27.824,29.397
32,2.018,1.979,2.458,1.539,1.934,1.762,2.445,2.458,802,258,1060,474.207,476.349,474.728,65.619,1.526,59.409,998.107,27.600,28.510
33,0.379,0.358,0.487,0.250,0.391,0.377,0.489,0.487,4090,512,4602,61.501,56.445,60.938,59.866,1.783,62.251,997.750,28.716,32.548
34,0.649,0.623,0.815,0.457,0.598,0.520,0.808,0.815,3636,374,4010,78.051,80.460,78.276,58.954,1.861,63.397,997.615,29.291,35.961
35,0.727,0.715,0.916,0.527,0.720,0.633,0.912,0.916,6166,840,7006,97.313,98.064,97.403,64.940,1.645,61.399,997.879,28.681,33.212
36,1.013,0.960,1.299,0.674,0.899,0.988,1.290,1.299,558,62,620,312.864,288.226,310.400,67.071,1.475,58.969,998.166,27.478,28.729
37,1.064,1.032,1.304,0.792,1.048,0.925,1.295,1.304,4730,798,5528,190.808,191.789,190.949,64.999,1.685,62.179,997.792,29.133,35.437
38,1.759,1.706,2.164,1.300,1.802,1.647,2.161,2.164,2334,530,2864,302.670,308.121,303.679,66.180,1.529,59.670,998.081,27.800,29.858
39,0.259,0.262,0.336,0.185,0.363,0.313,0.345,0.336,11172,1068,12240,43.602,45.101,43.733,65.526,1.711,62.837,997.722,29.557,37.252
40,0.858,0.810,1.050,0.618,0.494,0.635,1.006,1.050,704,114,818,176.940,167.018,175.557,61.590,1.671,60.743,997.931,28.005,30.104
41,0.775,0.730,0.940,0.565,0.733,0.673,0.936,0.940,4824,686,5510,157.910,156.828,157.776,64.109,1.766,63.375,997.652,29.739,37.367
42,2.326,2.293,2.848,1.771,2.119,1.970,2.818,2.848,462,108,570,547.597,543.944,546.905,62.019,1.603,59.618,998.060,27.398,27.322
43,1.078,1.056,1.362,0.773,1.177,0.980,1.371,1.362,2640,350,2990,204.802,200.777,204.331,66.278,1.558,60.232,998.019,28.131,31.068
44,1.788,1.800,2.224,1.364,2.043,2.018,2.243,2.224,1024,142,1166,452.750,454.620,452.978,66.684,1.499,59.279,998.129,27.620,28.714
45,1.049,1.029,1.335,0.742,1.067,0.877,1.327,1.335,3612,610,4222,175.120,176.121,175.265,62.985,1.678,61.346,997.872,28.475,32.129
46,2.030,2.015,2.305,1.740,4.955,4.600,4.028,2.305,4,4,8,256.000,473.500,364.750,78.500,1.000,54.000,998.800,25.650,
47,1.387,1.296,1.692,0.992,1.352,1.154,1.678,1.692,4372,910,5282,236.409,239.303,236.908,64.672,1.617,60.793,997.945,28.309,31.441
48,1.965,1.981,2.439,1.507,1.891,1.791,2.422,2.439,1552,402,1954,445.858,444.308,445.539,66.999,1.507,59.531,998.103,27.794,29.070
49,1.674,1.894,2.285,1.283,2.352,1.728,2.359,2.285,244,32,276,606.033,594.250,604.667,69.152,1.403,58.326,998.252,27.295,28.467
50,0.867,0.860,1.122,0.605,0.972,1.219,1.148,1.122,320,26,346,314.600,425.154,322.908,60.621,1.683,60.642,997.936,27.860,29.452
51,1.398,1.340,1.694,1.045,1.315,1.169,1.676,1.694,3296,592,3888,289.632,292.959,290.138,67.026,1.599,61.256,997.909,28.785,33.400
52,0.629,0.605,0.801,0.432,0.673,0.638,0.809,0.801,2602,342,2944,96.997,103.041,97.699,62.028,1.716,61.744,997.821,28.618,32.559
53,1.351,1.329,1.738,0.942,1.433,1.243,1.750,1.738,1216,182,1398,278.365,294.451,280.459,64.454,1.579,59.999,998.033,27.834,30.012
54,4.530,3.810,4.530,3.810,,,4.530,4.530,2,,2,898.000,,898.000,78.500,1.000,54.000,998.800,25.650,26.600
55,1.558,1.471,1.986,1.042,1.492,1.396,1.955,1.986,958,236,1194,393.520,410.237,396.824,65.265,1.533,59.425,998.103,27.578,27.973
56,1.487,1.450,1.812,1.125,1.449,1.388,1.803,1.812,3454,682,4136,239.791,240.677,239.937,66.552,1.551,60.206,998.024,28.140,31.159
57,1.034,0.994,1.292,0.737,1.197,1.032,1.308,1.292,1836,242,2078,175.208,191.025,177.050,63.331,1.665,61.231,997.887,28.440,31.753
58,1.340,1.459,1.783,1.016,1.457,1.288,1.781,1.783,966,234,1200,293.242,312.333,296.965,60.200,1.708,60.960,997.897,28.005,28.846
59,2.240,2.389,2.894,1.735,2.340,2.098,2.903,2.894,572,140,712,596.517,597.600,596.730,66.312,1.515,59.451,998.107,27.686,28.413
60,0.873,0.857,1.102,0.629,0.787,0.752,1.088,1.102,1506,218,1724,182.556,191.037,183.629,64.537,1.600,60.419,997.986,28.083,30.235
61,2.022,2.054,2.405,1.671,2.059,1.646,2.407,2.405,302,44,346,543.404,543.227,543.382,70.095,1.349,57.645,998.335,26.988,27.775
62,2.978,2.750,3.417,2.311,3.509,2.894,3.497,3.417,400,80,480,650.540,645.925,649.771,71.242,1.375,58.521,998.244,27.593,28.647
63,1.251,1.215,1.568,0.897,1.330,1.165,1.572,1.568,2682,482,3164,239.726,241.004,239.921,63.774,1.679,61.646,997.844,28.718,33.625
64,0.000,0.000,0.000,0.000,,,0.000,0.000,2,,2,575.000,,575.000,78.500,1.000,54.000,998.800,25.650,26.600
65,3.191,3.229,4.017,2.403,3.228,3.024,3.983,4.017,176,50,226,775.716,775.600,775.690,70.518,1.343,57.681,998.334,27.047,27.400
66,1.974,1.938,2.504,1.408,1.897,1.797,2.487,2.504,802,200,1002,416.833,412.470,415.962,63.955,1.567,59.617,998.073,27.570,28.329
67,2.565,2.450,3.007,2.009,3.059,2.409,3.088,3.007,164,40,204,738.780,695.900,730.373,69.853,1.357,57.706,998.326,27.002,28.181
68,1.522,1.336,1.849,1.010,1.235,1.440,1.838,1.849,316,50,366,314.297,307.800,313.410,65.139,1.519,59.123,998.136,27.393,27.715
69,2.678,2.689,3.223,2.144,2.551,2.123,3.178,3.223,754,170,924,557.257,549.518,555.833,68.626,1.444,58.917,998.182,27.586,29.277
70,0.151,0.159,0.209,0.101,0.214,0.183,0.217,0.209,9664,1208,10872,12.194,11.563,12.123,63.731,1.694,61.905,997.814,28.862,34.882
71,0.966,0.981,1.250,0.697,0.751,0.713,1.209,1.250,908,150,1058,254.196,290.267,259.310,65.509,1.537,59.581,998.087,27.689,28.615
72,1.357,1.289,1.707,0.939,1.267,1.294,1.705,1.707,1510,258,1768,248.881,255.372,249.828,63.741,1.598,60.126,998.014,27.843,29.371
73,1.232,1.144,1.517,0.859,1.153,0.944,1.493,1.517,2190,462,2652,212.954,213.277,213.011,59.509,1.768,61.839,997.794,28.447,31.143
74,0.839,0.813,1.062,0.589,1.020,0.826,1.091,1.062,1108,212,1320,301.659,300.604,301.489,64.445,1.582,60.057,998.027,27.867,28.809
75,0.490,0.473,0.604,0.359,0.515,0.442,0.608,0.604,11088,1228,12316,81.698,81.785,81.706,66.340,1.696,62.834,997.727,29.628,37.405
