Date,Temperature(℃),Total(kWh),City(x10²kWh),County Town(x10²kWh),Town(x10²kWh),Countryside(x10²kWh)
15/08/19 1h,29.1,65.3615,19.9893,19.2475,14.9613,11.1634
15/08/19 2h,28.7,58.8457,17.67,16.9146,14.1373,10.1238
15/08/19 3h,28.3,54.4062,16.48,15.6309,13.0728,9.2225
15/08/19 4h,28.2,50.7799,15.6903,14.6635,12.0135,8.4126
15/08/19 5h,27.7,47.272,14.6481,13.5535,11.2777,7.7927
15/08/19 6h,27.6,45.2216,14.0161,12.7306,10.7644,7.7105
15/08/19 7h,27.5,41.1824,12.7374,11.3723,9.8444,7.2283
15/08/19 8h,28.1,35.2388,11.1861,9.5987,8.8245,5.6295
15/08/19 9h,29.5,31.2784,9.8253,8.2551,7.9083,5.2897
15/08/19 10h,31,31.0204,9.5748,7.8798,7.802,5.7638
15/08/19 11h,32.2,36.6354,10.9043,8.9622,9.5066,7.2623
15/08/19 12h,33,43.5294,13.3897,10.8369,11.0302,8.2726
15/08/19 13h,33.8,48.548,15.7093,12.194,11.9109,8.7338
15/08/19 14h,34.2,47.1758,14.863,11.8491,11.6596,8.8041
15/08/19 15h,31.5,38.4855,12.4359,9.4512,9.0138,7.5846
15/08/19 16h,30.3,36.0192,11.6799,8.9296,8.2345,7.1752
15/08/19 17h,31,34.5194,11.2459,8.1199,8.1294,7.0242
15/08/19 18h,30.8,36.0661,11.6465,8.322,8.5928,7.5048
15/08/19 19h,29.7,38.1815,12.4955,9.2957,8.9206,7.4697
15/08/19 20h,28.8,49.0172,15.2463,11.6256,11.7156,10.4297
15/08/19 21h,28.2,60.8999,18.212,15.1599,14.6004,12.9276
15/08/19 22h,27.7,67.1931,20.4116,17.9229,15.5556,13.303
15/08/19 23h,27.2,64.1205,19.7892,17.5484,15.0949,11.688
15/08/19 24h,26.8,57.0429,17.5866,15.2735,13.6283,10.5545
16/08/19 1h,26.7,47.8747,15.1392,12.6801,11.2416,8.8138
16/08/19 2h,26.3,44.6615,14.0753,11.9419,10.3624,8.2819
16/08/19 3h,26.1,41.155,13.1325,11.0281,9.496,7.4984
16/08/19 4h,25.7,38.2781,12.2658,10.2466,8.8158,6.9499
16/08/19 5h,25.5,35.8416,11.4314,9.6072,8.3234,6.4796
16/08/19 6h,25.3,35.2468,11.1304,9.2748,8.1899,6.6517
16/08/19 7h,25.3,33.7423,10.476,8.8118,8.0257,6.4288
